sector_purpose,year,value,scenario,variant,unit
Warmwasser,2051,0.11940004306339654,ZERO-Basis,KKW50,PJ
Warmwasser,2052,0.11920054064419347,ZERO-Basis,KKW50,PJ
Warmwasser,2053,0.11807513621296245,ZERO-Basis,KKW50,PJ
Warmwasser,2054,0.11736944870168496,ZERO-Basis,KKW50,PJ
Warmwasser,2055,0.11653007256423492,ZERO-Basis,KKW50,PJ
Warmwasser,2056,0.1154366220315501,ZERO-Basis,KKW50,PJ
Warmwasser,2057,0.11333958968180458,ZERO-Basis,KKW50,PJ
Warmwasser,2058,0.11357093766005937,ZERO-Basis,KKW50,PJ
Warmwasser,2059,0.11209445291974043,ZERO-Basis,KKW50,PJ
Warmwasser,2060,0.11182786186558767,ZERO-Basis,KKW50,PJ
Klimatisierung,2000,1.4240812242098355,ZERO-Basis,KKW50,PJ
Klimatisierung,2001,2.1952451988059827,ZERO-Basis,KKW50,PJ
Klimatisierung,2002,1.6781708113430778,ZERO-Basis,KKW50,PJ
Klimatisierung,2003,1.7480320486008898,ZERO-Basis,KKW50,PJ
Klimatisierung,2004,1.8268875473600372,ZERO-Basis,KKW50,PJ
Klimatisierung,2005,1.6190428896966478,ZERO-Basis,KKW50,PJ
Klimatisierung,2006,1.4254270771489745,ZERO-Basis,KKW50,PJ
Klimatisierung,2007,1.3736523912823644,ZERO-Basis,KKW50,PJ
Klimatisierung,2008,1.321235475731476,ZERO-Basis,KKW50,PJ
Klimatisierung,2009,1.2820186680132315,ZERO-Basis,KKW50,PJ
Klimatisierung,2010,1.2441338662604897,ZERO-Basis,KKW50,PJ
Klimatisierung,2011,1.2669861150968766,ZERO-Basis,KKW50,PJ
Klimatisierung,2012,1.2434469732543219,ZERO-Basis,KKW50,PJ
Klimatisierung,2013,1.1876650588510156,ZERO-Basis,KKW50,PJ
Klimatisierung,2014,1.0770816470447468,ZERO-Basis,KKW50,PJ
Klimatisierung,2015,1.076636702063673,ZERO-Basis,KKW50,PJ
Klimatisierung,2016,1.1484937550817236,ZERO-Basis,KKW50,PJ
Klimatisierung,2017,1.2114710372278525,ZERO-Basis,KKW50,PJ
Klimatisierung,2018,1.171077155739878,ZERO-Basis,KKW50,PJ
Klimatisierung,2019,1.1157652160702705,ZERO-Basis,KKW50,PJ
Klimatisierung,2020,6.588791603480396,ZERO-Basis,KKW50,PJ
Klimatisierung,2021,6.621418116934154,ZERO-Basis,KKW50,PJ
Klimatisierung,2022,6.659377107596498,ZERO-Basis,KKW50,PJ
Klimatisierung,2023,6.694767277014866,ZERO-Basis,KKW50,PJ
Klimatisierung,2024,6.713454649490696,ZERO-Basis,KKW50,PJ
Klimatisierung,2025,6.7366599068200035,ZERO-Basis,KKW50,PJ
Klimatisierung,2026,6.736774810112958,ZERO-Basis,KKW50,PJ
Klimatisierung,2027,6.727190041720717,ZERO-Basis,KKW50,PJ
Klimatisierung,2028,6.728425041486713,ZERO-Basis,KKW50,PJ
Klimatisierung,2029,6.728566732053529,ZERO-Basis,KKW50,PJ
Klimatisierung,2030,6.7392379607629325,ZERO-Basis,KKW50,PJ
Klimatisierung,2031,6.67307603386189,ZERO-Basis,KKW50,PJ
Klimatisierung,2032,6.662313198964296,ZERO-Basis,KKW50,PJ
Klimatisierung,2033,6.661432312529382,ZERO-Basis,KKW50,PJ
Klimatisierung,2034,6.640727505048357,ZERO-Basis,KKW50,PJ
Klimatisierung,2035,6.636232297708561,ZERO-Basis,KKW50,PJ
Klimatisierung,2036,6.625999777457426,ZERO-Basis,KKW50,PJ
Klimatisierung,2037,6.605677125809189,ZERO-Basis,KKW50,PJ
Klimatisierung,2038,6.573043281077562,ZERO-Basis,KKW50,PJ
Klimatisierung,2039,6.556496317953291,ZERO-Basis,KKW50,PJ
Klimatisierung,2040,6.534180690415078,ZERO-Basis,KKW50,PJ
Klimatisierung,2041,6.492489821844788,ZERO-Basis,KKW50,PJ
Klimatisierung,2042,6.458691821511656,ZERO-Basis,KKW50,PJ
Klimatisierung,2043,6.436187536740722,ZERO-Basis,KKW50,PJ
Klimatisierung,2044,6.42686810111604,ZERO-Basis,KKW50,PJ
Klimatisierung,2045,6.39870015936556,ZERO-Basis,KKW50,PJ
Klimatisierung,2046,6.373566347679344,ZERO-Basis,KKW50,PJ
Klimatisierung,2047,6.341674803453612,ZERO-Basis,KKW50,PJ
Klimatisierung,2048,6.307377286073304,ZERO-Basis,KKW50,PJ
Klimatisierung,2049,6.287130668452125,ZERO-Basis,KKW50,PJ
Klimatisierung,2050,6.249853607062791,ZERO-Basis,KKW50,PJ
Klimatisierung,2051,6.210288892982412,ZERO-Basis,KKW50,PJ
Klimatisierung,2052,6.166556191182171,ZERO-Basis,KKW50,PJ
Klimatisierung,2053,6.125953137100204,ZERO-Basis,KKW50,PJ
Klimatisierung,2054,6.080226250749383,ZERO-Basis,KKW50,PJ
Klimatisierung,2055,6.042446406017827,ZERO-Basis,KKW50,PJ
Klimatisierung,2056,5.999474969205454,ZERO-Basis,KKW50,PJ
Klimatisierung,2057,5.956630164706926,ZERO-Basis,KKW50,PJ
Klimatisierung,2058,5.917444401955447,ZERO-Basis,KKW50,PJ
Klimatisierung,2059,5.886058645983664,ZERO-Basis,KKW50,PJ
Klimatisierung,2060,5.843780621516286,ZERO-Basis,KKW50,PJ
Prozesswärme,2000,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2001,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2002,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2003,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2004,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2005,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2006,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2007,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2008,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2009,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2010,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2011,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2012,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2013,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2014,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2015,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2016,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2017,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2018,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2019,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2020,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2021,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2022,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2023,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2024,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2025,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2026,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2027,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2028,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2029,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2030,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2031,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2032,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2033,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2034,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2035,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2036,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2037,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2038,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2039,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2040,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2041,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2042,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2043,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2044,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2045,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2046,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2047,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2048,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2049,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2050,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2051,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2052,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2053,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2054,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2055,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2056,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2057,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2058,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2059,0.0,ZERO-Basis,KKW50,PJ
Prozesswärme,2060,0.0,ZERO-Basis,KKW50,PJ
Prozesskälte,2000,0.0,ZERO-Basis,KKW50,PJ
Prozesskälte,2001,0.0,ZERO-Basis,KKW50,PJ
Prozesskälte,2002,0.0,ZERO-Basis,KKW50,PJ
Prozesskälte,2003,0.0,ZERO-Basis,KKW50,PJ
Prozesskälte,2004,0.0,ZERO-Basis,KKW50,PJ
Prozesskälte,2005,0.0,ZERO-Basis,KKW50,PJ
Prozesskälte,2006,0.0,ZERO-Basis,KKW50,PJ
Prozesskälte,2007,0.0,ZERO-Basis,KKW50,PJ
Prozesskälte,2008,0.0,ZERO-Basis,KKW50,PJ
Prozesskälte,2009,0.0,ZERO-Basis,KKW50,PJ
Prozesskälte,2010,0.0,ZERO-Basis,KKW50,PJ
Prozesskälte,2011,0.0,ZERO-Basis,KKW50,PJ
Prozesskälte,2012,0.0,ZERO-Basis,KKW50,PJ
Prozesskälte,2013,0.0,ZERO-Basis,KKW50,PJ
Prozesskälte,2014,0.0,ZERO-Basis,KKW50,PJ
Prozesskälte,2015,0.0,ZERO-Basis,KKW50,PJ
Prozesskälte,2016,0.0,ZERO-Basis,KKW50,PJ
Prozesskälte,2017,0.0,ZERO-Basis,KKW50,PJ
Prozesskälte,2018,0.0,ZERO-Basis,KKW50,PJ
Prozesskälte,2019,0.0,ZERO-Basis,KKW50,PJ
